times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

035.078  000.107  000.107: require('neo-tree.sources.common.preview')
035.247  000.168  000.168: require('neo-tree.sources.common.node_expander')
035.281  001.342  000.114: require('neo-tree.sources.common.commands')
035.318  001.427  000.085: require('neo-tree.sources.buffers.commands')
035.498  000.036  000.036: require('neo-tree.sources.filesystem.components')
035.562  000.030  000.030: require('neo-tree.sources.filesystem.lib.filter')
035.588  000.088  000.058: require('neo-tree.sources.filesystem.commands')
035.756  000.061  000.061: require('neo-tree.sources.git_status.components')
035.808  000.050  000.050: require('neo-tree.sources.git_status.commands')
036.572  000.056  000.056: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/editorconfig.lua
036.674  000.086  000.086: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/gzip.vim
036.692  000.005  000.005: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/health.vim
036.752  000.050  000.050: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/man.lua
037.005  000.114  000.114: sourcing /opt/nvim-linux64/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
037.041  000.274  000.160: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/matchit.vim
037.131  000.074  000.074: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/matchparen.vim
037.327  000.182  000.182: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/netrwPlugin.vim
037.385  000.031  000.031: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/nvim.lua
037.490  000.081  000.081: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/rplugin.vim
037.543  000.035  000.035: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/shada.vim
037.570  000.012  000.012: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/spellfile.vim
037.641  000.057  000.057: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/tarPlugin.vim
037.699  000.042  000.042: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/tohtml.vim
037.720  000.009  000.009: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/tutor.vim
037.838  000.076  000.076: sourcing /opt/nvim-linux64/share/nvim/runtime/plugin/zipPlugin.vim
037.890  036.173  011.604: sourcing /home/reilly/.config/nvim/init.lua
037.902  000.236: sourcing vimrc file(s)
038.064  000.026  000.026: sourcing /opt/nvim-linux64/share/nvim/runtime/filetype.lua
038.178  000.040  000.040: sourcing /opt/nvim-linux64/share/nvim/runtime/syntax/synload.vim
038.222  000.132  000.092: sourcing /opt/nvim-linux64/share/nvim/runtime/syntax/syntax.vim
038.230  000.170: inits 3
039.320  001.090: reading ShaDa
039.464  000.144: opening buffers
039.504  000.041: BufEnter autocommands
039.506  000.002: editing files in windows
039.543  000.037: VimEnter autocommands
039.562  000.019: UIEnter autocommands
039.563  000.001: before starting main loop
039.666  000.103: first screen update
039.666  000.001: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- NVIM STARTING ---
000.105  000.099: event init
000.188  000.084: early init
000.303  000.115: locale set
000.335  000.033: init first window
000.512  000.177: inits 1
000.517  000.004: window checked
000.518  000.002: parsing arguments
000.805  000.034  000.034: require('vim.shared')
000.865  000.022  000.022: require('vim._options')
000.866  000.059  000.037: require('vim._editor')
000.867  000.120  000.028: require('vim._init_packages')
000.868  000.230: init lua interpreter
001.143  000.275: expanding arguments
001.170  000.027: inits 2
001.333  000.163: init highlight
